Workbook,Date,0,1,2,3,4,5
C:\Users\vuongns\Downloads\test_tcb\tcb20200103.csv,03/01/2020,KRW,-,,23.00,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200103.csv,03/01/2020,( tỷ giá Won Korean),-,,23.00,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200103.csv,03/01/2020,TỶ GIÁ TRUNG TÂM NHNN CÔNG BỐ,TỶ GIÁ TRUNG TÂM NHNN CÔNG BỐ,,23157,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200103.csv,03/01/2020,TỶ GIÁ SÀN/TRẦN USDVND,TỶ GIÁ SÀN/TRẦN USDVND,22462,23852,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200103.csv,03/01/2020,,,,,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200103.csv,03/01/2020,Tỷ giá kỳ hạn USD,,Tham chiếu,Tham chiếu,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200103.csv,03/01/2020,Kỳ hạn (ngày),,Tỷ giá mua,Tỷ giá bán,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200103.csv,03/01/2020,3,,23116,23244,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200103.csv,03/01/2020,7,,23121,23259,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200103.csv,03/01/2020,30,,23146,23343,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200103.csv,03/01/2020,90,,23213,23562,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200103.csv,03/01/2020,180,,23312,23892,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200103.csv,03/01/2020,360,,23517,24569,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200103.csv,03/01/2020,,,,,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200103.csv,03/01/2020,,Tham chiếu,Tham chiếu,Tham chiếu,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200103.csv,03/01/2020,Tỷ giá vàng,4248000,,4290000,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200103.csv,03/01/2020,3-Jan-20,3 tháng,6 tháng,12 tháng,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200103.csv,03/01/2020,LIBOR USD (%năm):,1.90838,1.91213,1.99625,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200103.csv,03/01/2020,LIBOR EUR (%năm):,-0.41429,-0.37414,-0.26929,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200103.csv,03/01/2020,Tỷ giá được cập nhật lúc 03/01/2020 04:33 PM và chỉ mang tính chất tham khảo.,Tỷ giá được cập nhật lúc 03/01/2020 04:33 PM và chỉ mang tính chất tham khảo.,Tỷ giá được cập nhật lúc 03/01/2020 04:33 PM và chỉ mang tính chất tham khảo.,Tỷ giá được cập nhật lúc 03/01/2020 04:33 PM và chỉ mang tính chất tham khảo.,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200103.csv,03/01/2020,(Nguồn từ Bloomberg),,,,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200104.csv,04/01/2020,TỶ GIÁ HỐI ĐOÁI,TỶ GIÁ HỐI ĐOÁI,TỶ GIÁ HỐI ĐOÁI,TỶ GIÁ HỐI ĐOÁI,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200104.csv,04/01/2020,,,,,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200104.csv,04/01/2020,Loại tiền,Tỷ giá mua,Tỷ giá mua,Tỷ giá bán,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200104.csv,04/01/2020,,Tiền mặt/séc,Chuyển khoản,,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200104.csv,04/01/2020,"USD, (1,2)",22573,,,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200104.csv,04/01/2020,(tỷ giá Đô la Mỹ),22573,,,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200104.csv,04/01/2020,"USD, (5,10,20)",22673,,,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200104.csv,04/01/2020,(tỷ giá Đô la Mỹ),22673,,,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200104.csv,04/01/2020,"USD,50-100",23093,23113,23233,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200104.csv,04/01/2020,(tỷ giá Đô la Mỹ),23093,23113,23233,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200104.csv,04/01/2020,JPY,211.23,212.51,218.51,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200104.csv,04/01/2020,(tỷ giá đồng Yên Nhật),211.23,212.51,218.51,,
